speed_kmh,steer_deg_sw,steer_deg_wheel,straight_dist_m,avoidance_success,outcome,min_clearance_m,max_lat_dev_m,lat_at_obstacle_m,pd_start_dist_m,lane_start_dist_m,total_dist_m
20,-30,-2.0,25,1,SUCCESS,4.057,7.067,-7.058,55.1,63.9,109.0
20,-25,-1.67,25,1,SUCCESS,2.9,5.909,-5.901,55.1,63.6,106.7
20,-20,-1.33,25,1,SUCCESS,1.737,4.742,-4.737,55.1,63.0,103.9
20,-15,-1.0,25,1,SUCCESS,0.562,3.565,-3.563,55.1,62.4,100.4
20,-10,-0.67,25,0,COLLISION_PD_RETURN,-0.044,2.364,-2.364,55.1,N/A,60.3
20,-5,-0.33,25,0,COLLISION_PD_RETURN,-0.061,1.175,-1.175,55.1,N/A,59.3
20,0,0.0,25,0,COLLISION_LANE_RETURN,-0.0,0.0,0.0,55.1,55.2,59.0
20,5,0.33,25,0,COLLISION_PD_RETURN,-0.061,1.175,1.175,55.1,N/A,59.3
20,10,0.67,25,0,COLLISION_PD_RETURN,-0.044,2.364,2.364,55.1,N/A,60.3
20,15,1.0,25,1,SUCCESS,0.562,3.565,3.563,55.1,62.4,100.4
20,20,1.33,25,1,SUCCESS,1.737,4.742,4.737,55.1,63.0,103.9
20,25,1.67,25,1,SUCCESS,2.9,5.909,5.901,55.1,63.6,106.7
20,30,2.0,25,1,SUCCESS,4.057,7.067,7.058,55.1,63.9,109.0
20,35,2.33,25,0,CLIFF_PD_RETURN,7.442,7.516,7.516,55.1,N/A,56.0
20,40,2.67,25,0,CLIFF_EVADE,9.076,7.503,7.503,N/A,N/A,53.9
20,45,3.0,25,0,CLIFF_EVADE,10.422,7.529,7.529,N/A,N/A,52.3
20,50,3.33,25,0,CLIFF_EVADE,11.626,7.542,7.542,N/A,N/A,51.0
20,55,3.67,25,0,CLIFF_EVADE,12.73,7.509,7.509,N/A,N/A,49.8
20,60,4.0,25,0,CLIFF_EVADE,13.69,7.517,7.517,N/A,N/A,48.8
20,65,4.33,25,0,CLIFF_EVADE,14.557,7.52,7.52,N/A,N/A,47.9
20,70,4.67,25,0,CLIFF_EVADE,15.337,7.531,7.531,N/A,N/A,47.1
20,75,5.0,25,0,CLIFF_EVADE,16.035,7.563,7.563,N/A,N/A,46.4
20,80,5.33,25,0,CLIFF_EVADE,16.701,7.548,7.548,N/A,N/A,45.8
20,85,5.67,25,0,CLIFF_EVADE,17.294,7.569,7.569,N/A,N/A,45.2
20,90,6.0,25,0,CLIFF_EVADE,17.862,7.555,7.555,N/A,N/A,44.7
20,-90,-6.0,30,0,CLIFF_EVADE,13.302,7.555,-7.555,N/A,N/A,49.7
